step,equity,peak,drawdown,uncertainty_score,odds,regime_label,drawdown_pct
34,6.199999999999999,7.199999999999999,-1.0,0.576536,4.7,BALANCED,-0.1388888888888889
35,5.199999999999999,7.199999999999999,-2.0,0.40317,10.2,LONGSHOT,-0.2777777777777778
36,12.5,12.5,0.0,0.43951,8.3,LONGSHOT,0.0
37,11.5,12.5,-1.0,0.22961,51.6,DEEP_LONGSHOT,-0.08
38,10.5,12.5,-2.0,0.448069,8.2,LONGSHOT,-0.16
39,16.0,16.0,0.0,0.509864,6.5,BALANCED,0.0
40,15.0,16.0,-1.0,0.441436,9.1,LONGSHOT,-0.0625
41,14.0,16.0,-2.0,0.515135,6.2,BALANCED,-0.125
42,13.0,16.0,-3.0,0.245687,36.7,DEEP_LONGSHOT,-0.1875
43,12.0,16.0,-4.0,0.509329,7.1,BALANCED,-0.25
44,11.0,16.0,-5.0,0.289911,22.6,DEEP_LONGSHOT,-0.3125
45,10.0,16.0,-6.0,0.263704,56.9,DEEP_LONGSHOT,-0.375
46,9.0,16.0,-7.0,0.243844,44.9,DEEP_LONGSHOT,-0.4375
47,8.0,16.0,-8.0,0.383437,11.9,LONGSHOT,-0.5
48,7.0,16.0,-9.0,0.377661,13.1,LONGSHOT,-0.5625
49,6.0,16.0,-10.0,0.36948,12.6,LONGSHOT,-0.625
50,5.0,16.0,-11.0,0.21559,56.3,DEEP_LONGSHOT,-0.6875
51,4.0,16.0,-12.0,0.332887,16.2,LONGSHOT,-0.75
52,3.0,16.0,-13.0,0.462731,7.5,BALANCED,-0.8125
53,2.0,16.0,-14.0,0.20933,57.2,DEEP_LONGSHOT,-0.875
54,1.0,16.0,-15.0,0.44501,8.7,LONGSHOT,-0.9375
55,0.0,16.0,-16.0,0.215075,53.1,DEEP_LONGSHOT,-1.0
56,-1.0,16.0,-17.0,0.345894,17.9,LONGSHOT,-1.0625
57,-2.0,16.0,-18.0,0.24129,41.0,DEEP_LONGSHOT,-1.125
58,-3.0,16.0,-19.0,0.21559,84.6,DEEP_LONGSHOT,-1.1875
59,-4.0,16.0,-20.0,0.348038,15.0,LONGSHOT,-1.25
60,-5.0,16.0,-21.0,0.377062,13.4,LONGSHOT,-1.3125
61,-6.0,16.0,-22.0,0.378109,22.1,DEEP_LONGSHOT,-1.375
62,-7.0,16.0,-23.0,0.204255,78.4,DEEP_LONGSHOT,-1.4375
63,-8.0,16.0,-24.0,0.201264,67.5,DEEP_LONGSHOT,-1.5
64,-9.0,16.0,-25.0,0.34672,21.4,DEEP_LONGSHOT,-1.5625
65,-10.0,16.0,-26.0,0.258043,29.2,DEEP_LONGSHOT,-1.625
66,-11.0,16.0,-27.0,0.263488,37.7,DEEP_LONGSHOT,-1.6875
67,-12.0,16.0,-28.0,0.353416,20.1,DEEP_LONGSHOT,-1.75
68,-13.0,16.0,-29.0,0.396361,10.9,LONGSHOT,-1.8125
69,-14.0,16.0,-30.0,0.456243,8.4,LONGSHOT,-1.875
70,-15.0,16.0,-31.0,0.335121,23.6,DEEP_LONGSHOT,-1.9375
71,-16.0,16.0,-32.0,0.25914,40.0,DEEP_LONGSHOT,-2.0
72,-17.0,16.0,-33.0,0.316793,32.1,DEEP_LONGSHOT,-2.0625
73,-18.0,16.0,-34.0,0.313327,18.4,LONGSHOT,-2.125
74,-19.0,16.0,-35.0,0.452361,8.8,LONGSHOT,-2.1875
75,-20.0,16.0,-36.0,0.515827,6.1,BALANCED,-2.25
76,-21.0,16.0,-37.0,0.467758,7.2,BALANCED,-2.3125
77,-22.0,16.0,-38.0,0.388095,16.7,LONGSHOT,-2.375
78,-23.0,16.0,-39.0,0.565645,4.6,BALANCED,-2.4375
79,-15.7,16.0,-31.7,0.489633,8.3,LONGSHOT,-1.98125
80,-16.7,16.0,-32.7,0.441316,9.6,LONGSHOT,-2.04375
81,-17.7,16.0,-33.7,0.300599,23.1,DEEP_LONGSHOT,-2.10625
82,-18.7,16.0,-34.7,0.286931,27.8,DEEP_LONGSHOT,-2.16875
83,-19.7,16.0,-35.7,0.405496,14.6,LONGSHOT,-2.23125
84,-20.7,16.0,-36.7,0.488252,6.7,BALANCED,-2.29375
85,-21.7,16.0,-37.7,0.421279,10.8,LONGSHOT,-2.35625
86,-22.7,16.0,-38.7,0.429419,11.5,LONGSHOT,-2.41875
87,-23.7,16.0,-39.7,0.42854,10.4,LONGSHOT,-2.48125
88,-24.7,16.0,-40.7,0.297335,20.4,DEEP_LONGSHOT,-2.54375
89,-25.7,16.0,-41.7,0.393678,11.3,LONGSHOT,-2.60625
90,-26.7,16.0,-42.7,0.427533,9.9,LONGSHOT,-2.66875
91,-27.7,16.0,-43.7,0.249564,33.3,DEEP_LONGSHOT,-2.73125
92,-28.7,16.0,-44.7,0.555822,4.7,BALANCED,-2.79375
93,-29.7,16.0,-45.7,0.241989,36.7,DEEP_LONGSHOT,-2.85625
94,-30.7,16.0,-46.7,0.457486,7.8,BALANCED,-2.91875
95,-31.7,16.0,-47.7,0.322368,19.5,LONGSHOT,-2.98125
96,-32.7,16.0,-48.7,0.241756,42.1,DEEP_LONGSHOT,-3.04375
97,-33.7,16.0,-49.7,0.381523,12.1,LONGSHOT,-3.10625
98,-34.7,16.0,-50.7,0.209858,58.6,DEEP_LONGSHOT,-3.16875
99,-35.7,16.0,-51.7,0.256721,36.7,DEEP_LONGSHOT,-3.23125
100,-36.7,16.0,-52.7,0.311672,19.4,LONGSHOT,-3.29375
101,-37.7,16.0,-53.7,0.385775,12.9,LONGSHOT,-3.35625
102,-38.7,16.0,-54.7,0.258482,31.2,DEEP_LONGSHOT,-3.41875
103,-39.7,16.0,-55.7,0.228634,63.6,DEEP_LONGSHOT,-3.48125
104,-40.7,16.0,-56.7,0.165728,160.5,DEEP_LONGSHOT,-3.54375
105,-41.7,16.0,-57.7,0.333748,27.0,DEEP_LONGSHOT,-3.60625
106,-42.7,16.0,-58.7,0.255614,30.8,DEEP_LONGSHOT,-3.66875
107,-43.7,16.0,-59.7,0.388528,15.3,LONGSHOT,-3.73125
108,-44.7,16.0,-60.7,0.334778,22.6,DEEP_LONGSHOT,-3.79375
109,-45.7,16.0,-61.7,0.28533,41.0,DEEP_LONGSHOT,-3.85625
110,-46.7,16.0,-62.7,0.468729,8.3,LONGSHOT,-3.91875
111,-47.7,16.0,-63.7,0.43017,10.7,LONGSHOT,-3.98125
112,-48.7,16.0,-64.7,0.324854,17.9,LONGSHOT,-4.04375
113,-49.7,16.0,-65.7,0.577625,4.7,BALANCED,-4.10625
114,-50.7,16.0,-66.7,0.408884,12.7,LONGSHOT,-4.16875
115,-51.7,16.0,-67.7,0.312776,41.9,DEEP_LONGSHOT,-4.23125
116,-52.7,16.0,-68.7,0.246833,33.3,DEEP_LONGSHOT,-4.29375
117,-53.7,16.0,-69.7,0.252269,41.5,DEEP_LONGSHOT,-4.35625
118,-54.7,16.0,-70.7,0.364997,12.7,LONGSHOT,-4.41875
119,-55.7,16.0,-71.7,0.472258,9.0,LONGSHOT,-4.48125
120,-56.7,16.0,-72.7,0.268835,41.8,DEEP_LONGSHOT,-4.54375
121,-57.7,16.0,-73.7,0.502511,6.6,BALANCED,-4.60625
122,-58.7,16.0,-74.7,0.285129,40.3,DEEP_LONGSHOT,-4.66875
123,-59.7,16.0,-75.7,0.279658,30.5,DEEP_LONGSHOT,-4.73125
124,-60.7,16.0,-76.7,0.523928,5.7,BALANCED,-4.79375
125,-61.7,16.0,-77.7,0.259578,32.8,DEEP_LONGSHOT,-4.85625
126,-62.7,16.0,-78.7,0.399854,13.8,LONGSHOT,-4.91875
127,-63.7,16.0,-79.7,0.31643,20.9,DEEP_LONGSHOT,-4.98125
128,-56.0,16.0,-72.0,0.453509,8.7,LONGSHOT,-4.5
129,-57.0,16.0,-73.0,0.355831,18.0,LONGSHOT,-4.5625
130,-58.0,16.0,-74.0,0.261322,35.9,DEEP_LONGSHOT,-4.625
131,-59.0,16.0,-75.0,0.369327,23.7,DEEP_LONGSHOT,-4.6875
132,-60.0,16.0,-76.0,0.259359,34.3,DEEP_LONGSHOT,-4.75
133,-61.0,16.0,-77.0,0.574878,4.2,BALANCED,-4.8125
134,-62.0,16.0,-78.0,0.328547,16.5,LONGSHOT,-4.875
135,-63.0,16.0,-79.0,0.376312,15.5,LONGSHOT,-4.9375
136,-64.0,16.0,-80.0,0.350983,21.2,DEEP_LONGSHOT,-5.0
137,-65.0,16.0,-81.0,0.227408,42.9,DEEP_LONGSHOT,-5.0625
138,-66.0,16.0,-82.0,0.317156,18.3,LONGSHOT,-5.125
139,-67.0,16.0,-83.0,0.277813,29.1,DEEP_LONGSHOT,-5.1875
140,-68.0,16.0,-84.0,0.440475,10.6,LONGSHOT,-5.25
141,-69.0,16.0,-85.0,0.363905,13.2,LONGSHOT,-5.3125
142,-70.0,16.0,-86.0,0.434388,8.5,LONGSHOT,-5.375
143,-71.0,16.0,-87.0,0.265639,28.7,DEEP_LONGSHOT,-5.4375
144,-72.0,16.0,-88.0,0.524751,6.2,BALANCED,-5.5
145,-73.0,16.0,-89.0,0.583478,4.4,BALANCED,-5.5625
146,-74.0,16.0,-90.0,0.22961,40.5,DEEP_LONGSHOT,-5.625
147,-75.0,16.0,-91.0,0.385484,12.9,LONGSHOT,-5.6875
148,-76.0,16.0,-92.0,0.329071,17.6,LONGSHOT,-5.75
149,-77.0,16.0,-93.0,0.315885,18.3,LONGSHOT,-5.8125
150,-78.0,16.0,-94.0,0.439752,8.8,LONGSHOT,-5.875
151,-79.0,16.0,-95.0,0.5787,4.5,BALANCED,-5.9375
152,-24.299999999999997,16.0,-40.3,0.214558,55.7,DEEP_LONGSHOT,-2.51875
153,-25.299999999999997,16.0,-41.3,0.493532,10.3,LONGSHOT,-2.58125
154,-19.4,16.0,-35.4,0.52768,6.9,BALANCED,-2.2125
155,-20.4,16.0,-36.4,0.39902,14.0,LONGSHOT,-2.275
156,-21.4,16.0,-37.4,0.506901,7.3,BALANCED,-2.3375
157,-22.4,16.0,-38.4,0.319863,18.3,LONGSHOT,-2.4
158,-23.4,16.0,-39.4,0.448887,11.4,LONGSHOT,-2.4625
159,-24.4,16.0,-40.4,0.436229,12.3,LONGSHOT,-2.525
160,-25.4,16.0,-41.4,0.24979,35.4,DEEP_LONGSHOT,-2.5875
161,-26.4,16.0,-42.4,0.471301,7.6,BALANCED,-2.65
162,-27.4,16.0,-43.4,0.519923,6.7,BALANCED,-2.7125
163,-28.4,16.0,-44.4,0.461735,10.2,LONGSHOT,-2.775
164,-29.4,16.0,-45.4,0.268835,27.9,DEEP_LONGSHOT,-2.8375
165,-30.4,16.0,-46.4,0.487459,7.3,BALANCED,-2.9
166,-31.4,16.0,-47.4,0.385629,17.5,LONGSHOT,-2.9625
167,-32.4,16.0,-48.4,0.335805,24.6,DEEP_LONGSHOT,-3.025
168,-33.4,16.0,-49.4,0.26154,28.9,DEEP_LONGSHOT,-3.0875
169,-34.4,16.0,-50.4,0.373749,20.5,DEEP_LONGSHOT,-3.15
170,-28.7,16.0,-44.7,0.504169,6.7,BALANCED,-2.79375
171,-29.7,16.0,-45.7,0.511461,7.8,BALANCED,-2.85625
172,-30.7,16.0,-46.7,0.337849,19.9,LONGSHOT,-2.91875
173,-31.7,16.0,-47.7,0.377212,14.6,LONGSHOT,-2.98125
174,-12.7,16.0,-28.7,0.38108,20.0,LONGSHOT,-1.79375
175,-13.7,16.0,-29.7,0.444536,9.5,LONGSHOT,-1.85625
176,-14.7,16.0,-30.7,0.337339,18.1,LONGSHOT,-1.91875
177,-15.7,16.0,-31.7,0.525243,7.7,BALANCED,-1.98125
178,-16.7,16.0,-32.7,0.38108,17.1,LONGSHOT,-2.04375
179,-17.7,16.0,-33.7,0.268198,29.3,DEEP_LONGSHOT,-2.10625
180,-18.7,16.0,-34.7,0.444536,11.5,LONGSHOT,-2.16875
181,-19.7,16.0,-35.7,0.251595,43.2,DEEP_LONGSHOT,-2.23125
182,-20.7,16.0,-36.7,0.434265,9.4,LONGSHOT,-2.29375
183,-7.6,16.0,-23.6,0.389824,14.1,LONGSHOT,-1.475
184,-8.6,16.0,-24.6,0.529366,6.2,BALANCED,-1.5375
185,-4.8999999999999995,16.0,-20.9,0.553946,4.7,BALANCED,-1.30625
186,-5.8999999999999995,16.0,-21.9,0.279249,23.8,DEEP_LONGSHOT,-1.36875
187,-6.8999999999999995,16.0,-22.9,0.531508,6.6,BALANCED,-1.43125
188,-7.8999999999999995,16.0,-23.9,0.319863,17.0,LONGSHOT,-1.49375
189,0.9000000000000012,16.0,-15.099999999999998,0.410764,9.8,LONGSHOT,-0.9437499999999999
190,-0.09999999999999876,16.0,-16.099999999999998,0.22593,42.2,DEEP_LONGSHOT,-1.0062499999999999
191,-1.0999999999999988,16.0,-17.099999999999998,0.45167,13.0,LONGSHOT,-1.0687499999999999
192,-2.0999999999999988,16.0,-18.099999999999998,0.217642,46.7,DEEP_LONGSHOT,-1.1312499999999999
193,-3.0999999999999988,16.0,-19.099999999999998,0.297335,31.6,DEEP_LONGSHOT,-1.1937499999999999
194,-4.099999999999999,16.0,-20.099999999999998,0.190029,75.0,DEEP_LONGSHOT,-1.2562499999999999
195,-5.099999999999999,16.0,-21.099999999999998,0.445955,8.0,BALANCED,-1.3187499999999999
196,-6.099999999999999,16.0,-22.099999999999998,0.375862,14.4,LONGSHOT,-1.3812499999999999
197,-7.099999999999999,16.0,-23.099999999999998,0.211959,55.3,DEEP_LONGSHOT,-1.4437499999999999
198,-8.099999999999998,16.0,-24.099999999999998,0.213522,50.4,DEEP_LONGSHOT,-1.5062499999999999
199,-9.099999999999998,16.0,-25.099999999999998,0.394811,12.2,LONGSHOT,-1.5687499999999999
200,-3.4999999999999982,16.0,-19.5,0.524504,6.6,BALANCED,-1.21875
201,-4.499999999999998,16.0,-20.5,0.242454,35.3,DEEP_LONGSHOT,-1.28125
202,-5.499999999999998,16.0,-21.5,0.575766,5.1,BALANCED,-1.34375
203,-6.499999999999998,16.0,-22.5,0.312592,33.2,DEEP_LONGSHOT,-1.40625
204,-7.499999999999998,16.0,-23.5,0.560837,5.2,BALANCED,-1.46875
205,-8.499999999999998,16.0,-24.5,0.374807,12.7,LONGSHOT,-1.53125
206,-9.499999999999998,16.0,-25.5,0.244537,38.8,DEEP_LONGSHOT,-1.59375
207,-10.499999999999998,16.0,-26.5,0.268835,27.5,DEEP_LONGSHOT,-1.65625
208,-11.499999999999998,16.0,-27.5,0.307588,31.2,DEEP_LONGSHOT,-1.71875
209,-12.499999999999998,16.0,-28.5,0.354546,20.6,DEEP_LONGSHOT,-1.78125
210,-13.499999999999998,16.0,-29.5,0.378854,13.4,LONGSHOT,-1.84375
211,-14.499999999999998,16.0,-30.5,0.317156,17.5,LONGSHOT,-1.90625
212,-15.499999999999998,16.0,-31.5,0.417119,11.8,LONGSHOT,-1.96875
213,-16.5,16.0,-32.5,0.501398,6.7,BALANCED,-2.03125
214,-17.5,16.0,-33.5,0.34738,21.7,DEEP_LONGSHOT,-2.09375
215,-18.5,16.0,-34.5,0.522021,5.6,BALANCED,-2.15625
216,-19.5,16.0,-35.5,0.505995,6.0,BALANCED,-2.21875
217,-20.5,16.0,-36.5,0.416595,14.1,LONGSHOT,-2.28125
218,-21.5,16.0,-37.5,0.317156,33.8,DEEP_LONGSHOT,-2.34375
219,-22.5,16.0,-38.5,0.332024,16.2,LONGSHOT,-2.40625
220,-13.5,16.0,-29.5,0.435003,10.0,LONGSHOT,-1.84375
221,-14.5,16.0,-30.5,0.405087,13.7,LONGSHOT,-1.90625
222,-15.5,16.0,-31.5,0.319143,24.2,DEEP_LONGSHOT,-1.96875
223,-16.5,16.0,-32.5,0.257823,40.2,DEEP_LONGSHOT,-2.03125
224,-17.5,16.0,-33.5,0.46262,8.1,LONGSHOT,-2.09375
225,-18.5,16.0,-34.5,0.384608,15.2,LONGSHOT,-2.15625
226,-19.5,16.0,-35.5,0.534089,6.2,BALANCED,-2.21875
227,-20.5,16.0,-36.5,0.322902,19.3,LONGSHOT,-2.28125
228,-21.5,16.0,-37.5,0.29772,22.0,DEEP_LONGSHOT,-2.34375
229,-22.5,16.0,-38.5,0.369787,13.8,LONGSHOT,-2.40625
230,-23.5,16.0,-39.5,0.393394,12.8,LONGSHOT,-2.46875
231,-24.5,16.0,-40.5,0.225435,45.1,DEEP_LONGSHOT,-2.53125
232,-3.5,16.0,-19.5,0.291685,22.0,DEEP_LONGSHOT,-1.21875
233,-4.5,16.0,-20.5,0.292275,25.5,DEEP_LONGSHOT,-1.28125
234,-5.5,16.0,-21.5,0.385775,16.7,LONGSHOT,-1.34375
235,-6.5,16.0,-22.5,0.344567,15.4,LONGSHOT,-1.40625
236,0.5999999999999996,16.0,-15.4,0.486463,8.1,LONGSHOT,-0.9625
237,5.0,16.0,-11.0,0.547727,5.4,BALANCED,-0.6875
238,8.8,16.0,-7.199999999999999,0.570133,4.8,BALANCED,-0.44999999999999996
239,7.800000000000001,16.0,-8.2,0.259359,32.3,DEEP_LONGSHOT,-0.5125
240,6.800000000000001,16.0,-9.2,0.449818,8.5,LONGSHOT,-0.575
241,5.800000000000001,16.0,-10.2,0.555888,4.7,BALANCED,-0.6375
242,4.800000000000001,16.0,-11.2,0.259359,73.9,DEEP_LONGSHOT,-0.7
243,3.8000000000000007,16.0,-12.2,0.38592,14.9,LONGSHOT,-0.7625
244,2.8000000000000007,16.0,-13.2,0.552589,4.8,BALANCED,-0.825
245,1.8000000000000007,16.0,-14.2,0.46765,7.4,BALANCED,-0.8875
246,0.8000000000000007,16.0,-15.2,0.391686,16.5,LONGSHOT,-0.95
247,-0.1999999999999993,16.0,-16.2,0.492855,6.7,BALANCED,-1.0125
248,-1.1999999999999993,16.0,-17.2,0.355028,15.5,LONGSHOT,-1.075
249,-2.1999999999999993,16.0,-18.2,0.557669,5.4,BALANCED,-1.1375
250,-3.1999999999999993,16.0,-19.2,0.520933,6.2,BALANCED,-1.2
251,0.9000000000000004,16.0,-15.1,0.548362,5.1,BALANCED,-0.94375
252,-0.09999999999999964,16.0,-16.1,0.275334,27.3,DEEP_LONGSHOT,-1.00625
253,-1.0999999999999996,16.0,-17.1,0.236346,45.8,DEEP_LONGSHOT,-1.06875
254,-2.0999999999999996,16.0,-18.1,0.442872,9.5,LONGSHOT,-1.13125
255,-3.0999999999999996,16.0,-19.1,0.355028,26.6,DEEP_LONGSHOT,-1.19375
256,-4.1,16.0,-20.1,0.565278,5.4,BALANCED,-1.25625
257,-5.1,16.0,-21.1,0.521854,7.5,BALANCED,-1.31875
258,-6.1,16.0,-22.1,0.56491,4.4,BALANCED,-1.38125
259,-7.1,16.0,-23.1,0.561916,5.9,BALANCED,-1.44375
260,-8.1,16.0,-24.1,0.516,6.0,BALANCED,-1.50625
261,-9.1,16.0,-25.1,0.368866,13.2,LONGSHOT,-1.56875
262,-10.1,16.0,-26.1,0.528485,7.1,BALANCED,-1.63125
263,-11.1,16.0,-27.1,0.398741,13.5,LONGSHOT,-1.69375
264,-12.1,16.0,-28.1,0.453738,9.5,LONGSHOT,-1.75625
265,-9.0,16.0,-25.0,0.578325,4.1,BALANCED,-1.5625
266,-3.4000000000000004,16.0,-19.4,0.490223,6.6,BALANCED,-1.2125
267,-4.4,16.0,-20.4,0.567102,5.2,BALANCED,-1.275
268,-5.4,16.0,-21.4,0.362809,13.2,LONGSHOT,-1.3375
269,-6.4,16.0,-22.4,0.285931,22.4,DEEP_LONGSHOT,-1.4
270,-7.4,16.0,-23.4,0.319683,24.8,DEEP_LONGSHOT,-1.4625
271,-8.4,16.0,-24.4,0.377062,13.4,LONGSHOT,-1.525
272,-9.4,16.0,-25.4,0.267773,41.8,DEEP_LONGSHOT,-1.5875
273,-10.4,16.0,-26.4,0.424742,12.0,LONGSHOT,-1.65
274,-11.4,16.0,-27.4,0.289911,21.8,DEEP_LONGSHOT,-1.7125
275,-12.4,16.0,-28.4,0.421795,9.9,LONGSHOT,-1.775
276,4.999999999999998,16.0,-11.000000000000002,0.35759,18.4,LONGSHOT,-0.6875000000000001
277,10.2,16.0,-5.800000000000001,0.508164,6.2,BALANCED,-0.36250000000000004
278,14.299999999999999,16.0,-1.700000000000001,0.540843,5.1,BALANCED,-0.10625000000000007
279,13.299999999999999,16.0,-2.700000000000001,0.346885,15.3,LONGSHOT,-0.16875000000000007
280,12.299999999999999,16.0,-3.700000000000001,0.502603,9.1,LONGSHOT,-0.23125000000000007
281,11.299999999999999,16.0,-4.700000000000001,0.445955,15.5,LONGSHOT,-0.29375000000000007
282,10.299999999999999,16.0,-5.700000000000001,0.279863,41.8,DEEP_LONGSHOT,-0.35625000000000007
283,9.299999999999999,16.0,-6.700000000000001,0.304962,24.8,DEEP_LONGSHOT,-0.41875000000000007
284,8.299999999999999,16.0,-7.700000000000001,0.576152,4.2,BALANCED,-0.48125000000000007
285,7.299999999999999,16.0,-8.700000000000001,0.346225,14.2,LONGSHOT,-0.5437500000000001
286,6.299999999999999,16.0,-9.700000000000001,0.553608,5.7,BALANCED,-0.6062500000000001
287,5.299999999999999,16.0,-10.700000000000001,0.45328,13.6,LONGSHOT,-0.6687500000000001
288,4.299999999999999,16.0,-11.700000000000001,0.316612,36.5,DEEP_LONGSHOT,-0.7312500000000001
289,3.299999999999999,16.0,-12.700000000000001,0.334264,30.4,DEEP_LONGSHOT,-0.7937500000000001
290,2.299999999999999,16.0,-13.700000000000001,0.511549,6.5,BALANCED,-0.8562500000000001
291,1.299999999999999,16.0,-14.700000000000001,0.377661,19.9,LONGSHOT,-0.9187500000000001
292,0.29999999999999893,16.0,-15.700000000000001,0.528083,5.4,BALANCED,-0.9812500000000001
293,-0.7000000000000011,16.0,-16.700000000000003,0.391257,17.3,LONGSHOT,-1.0437500000000002
294,-1.700000000000001,16.0,-17.700000000000003,0.411967,16.7,LONGSHOT,-1.1062500000000002
295,-2.700000000000001,16.0,-18.700000000000003,0.279044,23.6,DEEP_LONGSHOT,-1.1687500000000002
296,-3.700000000000001,16.0,-19.700000000000003,0.268623,31.8,DEEP_LONGSHOT,-1.2312500000000002
297,-4.700000000000001,16.0,-20.700000000000003,0.518568,5.9,BALANCED,-1.2937500000000002
298,-5.700000000000001,16.0,-21.700000000000003,0.446779,8.1,LONGSHOT,-1.3562500000000002
299,-6.700000000000001,16.0,-22.700000000000003,0.420245,9.7,LONGSHOT,-1.4187500000000002
300,-7.700000000000001,16.0,-23.700000000000003,0.247062,35.8,DEEP_LONGSHOT,-1.4812500000000002
301,-8.700000000000001,16.0,-24.700000000000003,0.341394,15.2,LONGSHOT,-1.5437500000000002
302,-9.700000000000001,16.0,-25.700000000000003,0.334092,22.4,DEEP_LONGSHOT,-1.6062500000000002
303,-10.700000000000001,16.0,-26.700000000000003,0.238476,41.2,DEEP_LONGSHOT,-1.6687500000000002
304,-11.700000000000001,16.0,-27.700000000000003,0.496885,6.4,BALANCED,-1.7312500000000002
305,-12.700000000000001,16.0,-28.700000000000003,0.482741,7.0,BALANCED,-1.7937500000000002
306,-13.700000000000001,16.0,-29.700000000000003,0.495837,7.3,BALANCED,-1.8562500000000002
307,-14.700000000000001,16.0,-30.700000000000003,0.384023,11.5,LONGSHOT,-1.9187500000000002
308,-15.700000000000001,16.0,-31.700000000000003,0.429545,11.1,LONGSHOT,-1.9812500000000002
309,-16.700000000000003,16.0,-32.7,0.575489,4.5,BALANCED,-2.04375
310,-17.700000000000003,16.0,-33.7,0.397623,11.9,LONGSHOT,-2.10625
311,-18.700000000000003,16.0,-34.7,0.219676,46.1,DEEP_LONGSHOT,-2.16875
312,-19.700000000000003,16.0,-35.7,0.55293,6.5,BALANCED,-2.23125
313,-15.300000000000002,16.0,-31.300000000000004,0.547656,5.4,BALANCED,-1.9562500000000003
314,-16.300000000000004,16.0,-32.300000000000004,0.283922,25.3,DEEP_LONGSHOT,-2.0187500000000003
315,-17.300000000000004,16.0,-33.300000000000004,0.429043,11.2,LONGSHOT,-2.0812500000000003
316,-18.300000000000004,16.0,-34.300000000000004,0.39382,12.5,LONGSHOT,-2.1437500000000003
317,-19.300000000000004,16.0,-35.300000000000004,0.503065,15.2,LONGSHOT,-2.2062500000000003
318,-20.300000000000004,16.0,-36.300000000000004,0.566316,4.5,BALANCED,-2.2687500000000003
319,-21.300000000000004,16.0,-37.300000000000004,0.443586,15.0,LONGSHOT,-2.3312500000000003
320,-22.300000000000004,16.0,-38.300000000000004,0.275541,24.5,DEEP_LONGSHOT,-2.3937500000000003
321,-23.300000000000004,16.0,-39.300000000000004,0.368404,13.4,LONGSHOT,-2.4562500000000003
322,-24.300000000000004,16.0,-40.300000000000004,0.394245,12.3,LONGSHOT,-2.5187500000000003
