finishing_position,frame_number,horse_number,horse_name,weight_carried,jockey,race_time,margin_raw,odds,favorite_rank,trainer,horse_id,race_id,race_title,scraped_at,sex,age,horse_weight,horse_weight_diff,target_win,target_place,avg_finish_last5,avg_finish_last3,avg_speed_index_last5,recent_form_score,rest_days,last_finish,speed_index,stamina_index,acceleration_index,consistency_index,closing_speed
1.0,1,1,ラパンチュール,55.0,武豊,1:11.2,,2.4,1.0,[東] 蛯名正義,2022107340,202402010901,2歳未勝利｜2024年7月6日 | 競馬データベース - netkeiba,2026-05-20T09:42:53.251122,牝,2,458.0,4.0,1,1,3.8,3.0,33.6,0.2083,0,4,33.6,33.6,33.6,0.2083,33.6
2.0,3,3,オンザブルースカイ,52.0,小林勝太,1:11.2,アタマ,3.8,3.0,[西] 谷潔,2022104163,202402010901,2歳未勝利｜2024年7月6日 | 競馬データベース - netkeiba,2026-05-20T09:42:53.251122,牡,2,454.0,-2.0,0,1,9.0,8.0,34.72,0.1,0,13,34.72,34.72,34.72,0.1,34.72
3.0,6,6,ティピティーナ,55.0,丹内祐次,1:11.4,1.1/2,3.1,2.0,[東] 林徹,2022105376,202402010901,2歳未勝利｜2024年7月6日 | 競馬データベース - netkeiba,2026-05-20T09:42:53.251122,牝,2,408.0,4.0,0,1,8.0,5.33,36.5,0.1111,0,2,36.5,36.5,36.5,0.1111,36.5
4.0,4,4,ブリッツアロング,55.0,大野拓弥,1:11.6,1,25.9,6.0,[東] 上原博之,2022102819,202402010901,2歳未勝利｜2024年7月6日 | 競馬データベース - netkeiba,2026-05-20T09:42:53.251122,牡,2,472.0,-2.0,0,0,11.4,10.0,37.76,0.0806,0,9,37.76,37.76,37.76,0.0806,37.76
5.0,2,2,カルミネイション,55.0,菱田裕二,1:11.6,ハナ,5.9,4.0,[西] 緒方努,2022103154,202402010901,2歳未勝利｜2024年7月6日 | 競馬データベース - netkeiba,2026-05-20T09:42:53.251122,牝,2,436.0,10.0,0,0,6.8,5.33,41.56,0.1282,0,8,41.56,41.56,41.56,0.1282,41.56
6.0,5,5,ディラードテソーロ,52.0,高杉吏麒,1:11.6,クビ,20.9,5.0,[東] 畠山吉宏,2022102273,202402010901,2歳未勝利｜2024年7月6日 | 競馬データベース - netkeiba,2026-05-20T09:42:53.251122,牡,2,432.0,6.0,0,0,9.6,12.67,36.7,0.0943,0,17,36.7,36.7,36.7,0.0943,36.7
7.0,7,7,サノノスウィフト,52.0,長浜鴻緒,1:13.0,8,87.6,7.0,[東] 蛯名利弘,2022102029,202402010901,2歳未勝利｜2024年7月6日 | 競馬データベース - netkeiba,2026-05-20T09:42:53.251122,牝,2,400.0,0.0,0,0,3.25,4.0,39.73,0.2353,0,7,39.73,39.73,39.73,0.2353,39.73
1.0,7,10,ニホンピロトッティ,55.0,菱田裕二,0:58.9,,15.9,6.0,[西] 緒方努,2021104210,202402010902,3歳未勝利｜2024年7月6日 | 競馬データベース - netkeiba,2026-05-20T09:43:17.762902,牝,3,400.0,4.0,1,1,6.8,8.33,36.92,0.1282,0,14,36.92,36.92,36.92,0.1282,36.92
2.0,1,1,タカラバディウス,52.0,小林勝太,0:59.2,2,111.6,10.0,[東] 堀内岳志,2021106376,202402010902,3歳未勝利｜2024年7月6日 | 競馬データベース - netkeiba,2026-05-20T09:43:17.762902,牝,3,420.0,-4.0,0,1,5.2,6.67,39.4,0.1613,0,9,39.4,39.4,39.4,0.1613,39.4
3.0,8,12,タイセイフォルテ,54.0,高杉吏麒,0:59.4,1.1/4,4.0,2.0,[西] 西村真幸,2021105345,202402010902,3歳未勝利｜2024年7月6日 | 競馬データベース - netkeiba,2026-05-20T09:43:17.762902,牡,3,486.0,0.0,0,1,4.4,4.33,38.46,0.1852,0,1,38.46,38.46,38.46,0.1852,38.46
