finishing_position,frame_number,horse_number,horse_name,weight_carried,jockey,race_time,margin_raw,odds,favorite_rank,trainer,horse_id,race_id,race_title,scraped_at,sex,age,horse_weight,horse_weight_diff,target_win,target_place,avg_finish_last5,avg_speed_index_last5,recent_form_score,rest_days,last_finish,speed_index,stamina_index,acceleration_index,consistency_index,closing_speed
1.0,7,12,ヴァレッタカズマ,60,森一馬,3:08.7,,10.1,4,[西] 藤野健太,2019105292,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,牡,5,506,0,1,1,7.8,0.0,0.11363636363636363,0,6,0.0,0.0,0.0,0.11363636363636363,0.0
2.0,8,14,ロスコフ,60,石神深一,3:08.8,1/2,1.8,1,[東] 久保田貴,2018105438,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,牡,6,504,-2,0,1,2.6,0.0,0.2777777777777778,0,4,0.0,0.0,0.0,0.2777777777777778,0.0
3.0,6,9,テイエムナイスラン,60,伴啓太,3:09.1,1.3/4,73.9,11,[東] 石栗龍彦,2019102826,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,牡,5,534,4,0,1,7.8,0.0,0.11363636363636363,0,10,0.0,0.0,0.0,0.11363636363636363,0.0
4.0,5,8,スマッシャー,60,高田潤,3:09.3,1.1/4,9.1,3,[西] 吉岡辰弥,2018106573,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,牡,6,494,-2,0,0,2.8,0.0,0.2631578947368421,0,3,0.0,0.0,0.0,0.2631578947368421,0.0
5.0,1,1,メモリーズオブユー,59,中村将之,3:09.7,2,5.0,2,[西] 高橋義忠,2020103386,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,牡,4,524,8,0,0,4.0,0.0,0.2,0,5,0.0,0.0,0.0,0.2,0.0
6.0,5,7,タンジェントアーク,57,土田真翔,3:09.8,1,53.3,10,[東] 田村康仁,2018100752,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,セ,6,432,-12,0,0,8.2,0.0,0.10869565217391305,0,9,0.0,0.0,0.0,0.10869565217391305,0.0
7.0,8,13,ベレヌス,60,小牧加矢,3:10.1,1.1/2,16.2,6,[西] 杉山晴紀,2017105269,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,牡,7,526,2,0,0,5.6,0.0,0.15151515151515152,0,7,0.0,0.0,0.0,0.15151515151515152,0.0
8.0,6,10,クリノクオン,59,金子光希,3:10.3,1.1/4,34.2,9,[東] 伊藤伸一,2020105728,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,牡,4,458,-2,0,0,3.6,0.0,0.2173913043478261,0,8,0.0,0.0,0.0,0.2173913043478261,0.0
9.0,7,11,アドマイヤアルバ,60,上野翔,3:10.3,ハナ,31.6,8,[東] 堀内岳志,2015104713,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,セ,9,470,-6,0,0,7.2,0.0,0.12195121951219513,0,8,0.0,0.0,0.0,0.12195121951219513,0.0
10.0,2,2,トモジャリア,60,大江原圭,3:10.7,2.1/2,10.3,5,[東] 小笠倫弘,2018101516,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,牡,6,470,-8,0,0,5.0,0.0,0.16666666666666666,0,10,0.0,0.0,0.0,0.16666666666666666,0.0
11.0,4,6,メルテミア,60,小坂忠士,3:11.0,2,31.1,7,[西] 小栗実,2018103266,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,牡,6,474,-4,0,0,10.4,-9.0,0.08771929824561403,0,10,-9.0,-9.0,-9.0,0.08771929824561403,-9.0
12.0,4,5,リバーシブルレーン,59,水沼元輝,3:11.6,3.1/2,168.7,13,[東] 辻哲英,2016104982,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,牡,8,444,2,0,0,5.4,-20.0,0.15625,0,5,-20.0,-20.0,-20.0,0.15625,-20.0
13.0,3,4,テーオーコンドル,60,五十嵐雄,3:12.5,5,103.6,12,[西] 宮徹,2019104963,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,セ,5,474,-6,0,0,6.0,-7.0,0.14285714285714285,0,5,-7.0,-7.0,-7.0,0.14285714285714285,-7.0
14.0,3,3,デストロイ,57,坂口智康,3:13.6,7,382.4,14,[東] 土田稔,2014106286,202404010301,障害4歳以上オープン｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:37:16.284997,セ,10,498,2,0,0,11.6,0.0,0.07936507936507936,0,14,0.0,0.0,0.0,0.07936507936507936,0.0
1.0,5,9,ピカレスクノベル,56,小沢大仁,1:55.0,,2.7,1,[西] 高橋義忠,2021106087,202404010302,3歳未勝利｜2024年5月4日 | 競馬データベース - netkeiba,2026-05-16T16:38:05.232278,牡,3,500,0,1,1,10.8,-1.0,0.0847457627118644,0,13,-1.0,-1.0,-1.0,0.0847457627118644,-1.0
