finishing_position,frame_number,horse_number,horse_name,weight_carried,jockey,race_time,margin_raw,odds,favorite_rank,trainer,horse_id,race_id,race_title,scraped_at,sex,age,horse_weight,horse_weight_diff,target_win,target_place,avg_finish_last5,avg_speed_index_last5,recent_form_score,rest_days,last_finish,speed_index,stamina_index,acceleration_index,consistency_index,closing_speed
1,6,6,ファイヤーボール,57,阪野学,1:15.1,,2.6,1,[地] 田中正二,2021102198,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:33:41.170907,セ,3,458,-4,1,1,7.6,-5.0,0.11627906976744186,0,13,-5.0,-5.0,-5.0,0.11627906976744186,-5.0
2,4,4,テンケイ,57,亀井洋司,1:16.3,6,5.4,4,[地] 佐々木国,2021104600,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:33:41.170907,セ,3,488,2,0,1,4.8,-5.0,0.1724137931034483,0,7,-5.0,-5.0,-5.0,0.1724137931034483,-5.0
3,8,8,エピタキシー,57,阿部龍,1:16.6,1.1/2,4.8,3,[地] 角川秀樹,2021102664,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:33:41.170907,牡,3,468,4,0,1,8.4,-3.0,0.10638297872340426,0,11,-3.0,-3.0,-3.0,0.10638297872340426,-3.0
4,5,5,ユイミオ,55,井上俊彦,1:16.9,1.1/2,6.5,5,[地] 櫻井拓章,2021100422,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:33:41.170907,牝,3,474,-4,0,0,5.4,-15.0,0.15625,0,4,-15.0,-15.0,-15.0,0.15625,-15.0
5,1,1,クロゴウ,55,黒澤愛斗,1:17.1,3/4,83.2,8,[地] 佐藤英明,2021104330,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:33:41.170907,牝,3,414,-4,0,0,5.6,-5.0,0.15151515151515152,0,6,-5.0,-5.0,-5.0,0.15151515151515152,-5.0
6,8,9,アークヴィヴィアン,55,小野楓馬,1:17.1,アタマ,17.2,6,[地] 小野望,2021107382,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:33:41.170907,牝,3,492,-2,0,0,10.0,-5.0,0.09090909090909091,0,10,-5.0,-5.0,-5.0,0.09090909090909091,-5.0
7,2,2,ガリグラス,57,石川倭,1:17.3,1,4.5,2,[地] 小国博行,2021106483,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:33:41.170907,セ,3,456,-8,0,0,4.5,-11.0,0.18181818181818182,0,4,-11.0,-11.0,-11.0,0.18181818181818182,-11.0
8,3,3,スティールジェーン,52,若杉朝飛,1:17.9,3,110.5,9,[地] 秋田大助,2021100351,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:33:41.170907,牝,3,406,4,0,0,7.8,-16.0,0.11363636363636363,0,12,-16.0,-16.0,-16.0,0.11363636363636363,-16.0
9,7,7,リコーレオパルド,53,阿岸潤一,1:23.0,大,26.3,7,[地] 森山雄大,2021102271,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:33:41.170907,牝,3,436,-8,0,0,7.0,1.0,0.125,0,6,1.0,1.0,1.0,0.125,1.0
1,7,8,アヤメイロ,55,岩橋勇二,1:02.1,,9.6,6,[地] 田中正二,2021106711,202430050202,3歳条件4ー2｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:34:14.239981,牝,3,408,-10,1,1,10.8,-18.0,0.0847457627118644,0,12,-18.0,-18.0,-18.0,0.0847457627118644,-18.0
