finishing_position,frame_number,horse_number,horse_name,weight_carried,jockey,race_time,margin_raw,odds,favorite_rank,trainer,horse_id,race_id,race_title,scraped_at,sex,age,horse_weight,horse_weight_diff,target_win,target_place,avg_finish_last5,avg_speed_index_last5,recent_form_score,rest_days,last_finish,speed_index,stamina_index,acceleration_index,consistency_index,closing_speed
1,6,6,ピュアジャスミン,55,阪野学,1:03.8,,4.2,3,[地] 田中正二,2021100492,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:03.705341,牝,3,456,-2,1,1,4.6,-9.0,0.17857142857142858,0,7,-9.0,-9.0,-9.0,0.17857142857142858,-9.0
2,3,3,ブラックモア,57,桑村真明,1:03.9,クビ,4.1,2,[地] 石本孝博,2021101516,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:03.705341,牡,3,498,-2,0,1,7.6,-15.0,0.11627906976744186,0,11,-15.0,-15.0,-15.0,0.11627906976744186,-15.0
3,4,4,ハナカンザシ,55,亀井洋司,1:03.9,クビ,3.2,1,[地] 斉藤正弘,2021101978,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:03.705341,牝,3,450,0,0,1,5.8,-23.0,0.14705882352941177,0,10,-23.0,-23.0,-23.0,0.14705882352941177,-23.0
4,5,5,ゴールデンアイル,53,阿岸潤一,1:04.0,3/4,6.4,4,[地] 黒川智貴,2021101144,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:03.705341,牝,3,434,4,0,0,8.2,-24.0,0.10869565217391305,0,10,-24.0,-24.0,-24.0,0.10869565217391305,-24.0
5,6,7,クリーンブラボー,55,小野楓馬,1:04.1,1/2,13.2,6,[地] 川島雅人,2021100800,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:03.705341,牝,3,408,0,0,0,8.2,-10.0,0.10869565217391305,0,8,-10.0,-10.0,-10.0,0.10869565217391305,-10.0
6,7,9,モーニングコスモス,53,宮内勇樹,1:04.6,2.1/2,86.8,10,[地] 川島洋人,2021102869,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:03.705341,牝,3,462,4,0,0,7.4,-6.0,0.11904761904761904,0,7,-6.0,-6.0,-6.0,0.11904761904761904,-6.0
7,1,1,ビジューメファ,55,服部茂史,1:04.9,1.1/2,27.7,8,[地] 佐々木国,2021106533,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:03.705341,牝,3,408,-4,0,0,5.8,-8.0,0.14705882352941177,0,6,-8.0,-8.0,-8.0,0.14705882352941177,-8.0
8,7,8,クロイバラ,55,黒澤愛斗,1:05.4,2.1/2,16.0,7,[地] 佐藤英明,2021107394,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:03.705341,牝,3,420,-4,0,0,8.0,-20.0,0.1111111111111111,0,11,-20.0,-20.0,-20.0,0.1111111111111111,-20.0
9,8,10,エクラエル,55,落合玄太,1:05.6,1,44.9,9,[地] 小野望,2021105317,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:03.705341,牝,3,490,-10,0,0,8.6,-18.0,0.10416666666666667,0,8,-18.0,-18.0,-18.0,0.10416666666666667,-18.0
10,8,11,エンジェルスラップ,55,石川倭,1:07.1,7,10.3,5,[地] 山口竜一,2021104249,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:03.705341,牝,3,420,6,0,0,4.8,-20.0,0.1724137931034483,0,4,-20.0,-20.0,-20.0,0.1724137931034483,-20.0
11,2,2,ローズワンステラ,55,坂下秀樹,1:14.3,大,307.6,11,[地] 岡島玉一,2021102101,202430050101,3歳条件未勝利｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:03.705341,牝,3,430,-10,0,0,5.6,-18.0,0.15151515151515152,0,11,-18.0,-18.0,-18.0,0.15151515151515152,-18.0
1,5,5,ダバイカンティーク,55,服部茂史,1:52.8,,8.2,5,[地] 川島洋人,2021100664,202430050102,3歳条件4ー2｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:41.285140,牝,3,428,0,1,1,9.8,-6.0,0.09259259259259259,0,9,-6.0,-6.0,-6.0,0.09259259259259259,-6.0
2,4,4,ハナアヤメ,55,石川倭,1:54.0,6,3.4,2,[地] 米川昇,2021104394,202430050102,3歳条件4ー2｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:41.285140,牝,3,526,18,0,1,5.0,-10.0,0.16666666666666666,0,15,-10.0,-10.0,-10.0,0.16666666666666666,-10.0
3,7,7,マーニク,55,阿部龍,1:54.2,3/4,6.5,4,[地] 角川秀樹,2021103067,202430050102,3歳条件4ー2｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:41.285140,牝,3,458,4,0,1,7.4,-5.0,0.11904761904761904,0,6,-5.0,-5.0,-5.0,0.11904761904761904,-5.0
4,2,2,スマイルケイ,55,落合玄太,1:54.5,1.1/2,2.9,1,[地] 村上正和,2021103401,202430050102,3歳条件4ー2｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:41.285140,牝,3,492,6,0,0,4.6,-5.0,0.17857142857142858,0,10,-5.0,-5.0,-5.0,0.17857142857142858,-5.0
5,3,3,キタノデュエル,55,桑村真明,1:54.6,3/4,4.3,3,[地] 小国博行,2021101117,202430050102,3歳条件4ー2｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:41.285140,牝,3,446,-4,0,0,4.6,-17.0,0.17857142857142858,0,7,-17.0,-17.0,-17.0,0.17857142857142858,-17.0
6,1,1,リンクスリリー,55,亀井洋司,1:55.3,3,11.3,6,[地] 斉藤正弘,2021101119,202430050102,3歳条件4ー2｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:41.285140,牝,3,474,4,0,0,4.2,-19.0,0.1923076923076923,0,1,-19.0,-19.0,-19.0,0.1923076923076923,-19.0
7,6,6,シャイニングアース,57,小野楓馬,1:55.3,クビ,36.5,7,[地] 小野望,2021109005,202430050102,3歳条件4ー2｜2024年5月1日 | 競馬データベース - netkeiba,2026-05-16T16:32:41.285140,牡,3,464,-6,0,0,5.6,-11.0,0.15151515151515152,0,8,-11.0,-11.0,-11.0,0.15151515151515152,-11.0
