finishing_position,frame_number,horse_number,horse_name,weight_carried,jockey,race_time,margin_raw,odds,favorite_rank,trainer,horse_id,race_id,race_title,scraped_at,sex,age,horse_weight,horse_weight_diff,target_win,target_place,avg_finish_last5,avg_speed_index_last5,recent_form_score,rest_days,last_finish,speed_index,stamina_index,acceleration_index,consistency_index,closing_speed
1,6,6,ファイヤーボール,57,阪野学,1:15.1,,2.6,1,[地] 田中正二,2021102198,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:29:40.897464,セ,3,458,-4,1,1,7.6,0.0,0.11627906976744186,0,13,0.0,0.0,0.0,0.11627906976744186,0.0
2,4,4,テンケイ,57,亀井洋司,1:16.3,6,5.4,4,[地] 佐々木国,2021104600,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:29:40.897464,セ,3,488,2,0,1,4.8,0.0,0.1724137931034483,0,7,0.0,0.0,0.0,0.1724137931034483,0.0
3,8,8,エピタキシー,57,阿部龍,1:16.6,1.1/2,4.8,3,[地] 角川秀樹,2021102664,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:29:40.897464,牡,3,468,4,0,1,8.4,0.0,0.10638297872340426,0,11,0.0,0.0,0.0,0.10638297872340426,0.0
4,5,5,ユイミオ,55,井上俊彦,1:16.9,1.1/2,6.5,5,[地] 櫻井拓章,2021100422,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:29:40.897464,牝,3,474,-4,0,0,5.4,0.0,0.15625,0,4,0.0,0.0,0.0,0.15625,0.0
5,1,1,クロゴウ,55,黒澤愛斗,1:17.1,3/4,83.2,8,[地] 佐藤英明,2021104330,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:29:40.897464,牝,3,414,-4,0,0,5.6,0.0,0.15151515151515152,0,6,0.0,0.0,0.0,0.15151515151515152,0.0
6,8,9,アークヴィヴィアン,55,小野楓馬,1:17.1,アタマ,17.2,6,[地] 小野望,2021107382,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:29:40.897464,牝,3,492,-2,0,0,10.0,0.0,0.09090909090909091,0,10,0.0,0.0,0.0,0.09090909090909091,0.0
7,2,2,ガリグラス,57,石川倭,1:17.3,1,4.5,2,[地] 小国博行,2021106483,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:29:40.897464,セ,3,456,-8,0,0,4.5,0.0,0.18181818181818182,0,4,0.0,0.0,0.0,0.18181818181818182,0.0
8,3,3,スティールジェーン,52,若杉朝飛,1:17.9,3,110.5,9,[地] 秋田大助,2021100351,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:29:40.897464,牝,3,406,4,0,0,7.8,0.0,0.11363636363636363,0,12,0.0,0.0,0.0,0.11363636363636363,0.0
9,7,7,リコーレオパルド,53,阿岸潤一,1:23.0,大,26.3,7,[地] 森山雄大,2021102271,202430050201,3歳条件未勝利｜2024年5月2日 | 競馬データベース - netkeiba,2026-05-16T16:29:40.897464,牝,3,436,-8,0,0,7.0,0.0,0.125,0,6,0.0,0.0,0.0,0.125,0.0
