threshold,n,roi,hit_rate,max_drawdown
0.0,0,,,
0.05,0,,,
0.1,0,,,
0.15000000000000002,0,,,
0.2,0,,,
0.25,0,,,
0.30000000000000004,0,,,
0.35000000000000003,0,,,
0.4,0,,,
0.45,0,,,
0.5,1862,-0.2737916219119227,0.06713211600429646,-526.0
0.55,1862,-0.2737916219119227,0.06713211600429646,-526.0
0.6000000000000001,1862,-0.2737916219119227,0.06713211600429646,-526.0
0.65,1862,-0.2737916219119227,0.06713211600429646,-526.0
0.7000000000000001,1862,-0.2737916219119227,0.06713211600429646,-526.0
0.75,1862,-0.2737916219119227,0.06713211600429646,-526.0
0.8,1862,-0.2737916219119227,0.06713211600429646,-526.0
0.8500000000000001,1862,-0.2737916219119227,0.06713211600429646,-526.0
0.9,1862,-0.2737916219119227,0.06713211600429646,-526.0
0.9500000000000001,1862,-0.2737916219119227,0.06713211600429646,-526.0
1.0,1862,-0.2737916219119227,0.06713211600429646,-526.0
