_bucket,n_bets,total_stake,total_pnl,mean_ev,mean_prob,roi,hit_rate
"(0.999, 187.1]",187,187.0,-6.4,1.319096256684492,0.1451609625668449,-0.034224598930481284,0.10695187165775401
"(187.1, 373.2]",186,186.0,-5.800000000000004,1.3578279569892473,0.1402424731182796,-0.031182795698924754,0.10752688172043011
"(373.2, 559.3]",186,186.0,-41.900000000000006,1.4062419354838709,0.13666774193548387,-0.22526881720430111,0.10215053763440861
"(559.3, 745.4]",186,186.0,-81.0,1.464688172043011,0.1191489247311828,-0.43548387096774194,0.07526881720430108
"(745.4, 931.5]",186,186.0,52.7,1.5308387096774192,0.12523440860215054,0.2833333333333333,0.08064516129032258
"(931.5, 1117.6]",186,186.0,-110.6,1.6077741935483871,0.12174623655913978,-0.5946236559139785,0.053763440860215055
"(1117.6, 1303.7]",186,186.0,17.099999999999998,1.7069139784946237,0.11977258064516129,0.09193548387096773,0.07526881720430108
"(1303.7, 1489.8]",186,186.0,-62.2,1.8477419354838711,0.10900161290322581,-0.33440860215053764,0.043010752688172046
"(1489.8, 1675.9]",186,186.0,-155.0,2.0453709677419356,0.10591720430107528,-0.8333333333333334,0.010752688172043012
"(1675.9, 1862.0]",187,187.0,-116.7,2.5877486631016042,0.09871443850267379,-0.6240641711229946,0.016042780748663103
