_bucket,n_bets,total_stake,total_pnl,mean_ev,mean_prob,roi,hit_rate
"(1.5, 2.5]",0,0.0,0.0,,,,0.0
"(2.5, 4.0]",10,10.0,5.0,1.3475000000000001,0.3564,0.5,0.4
"(4.0, 6.0]",168,168.0,42.2,1.4177142857142857,0.2806166666666667,0.2511904761904762,0.25
"(6.0, 10.0]",308,308.0,-23.099999999999998,1.5228506493506493,0.1982892857142857,-0.075,0.12012987012987013
"(10.0, 999.0]",1376,1376.0,-533.9,1.7600486918604652,0.08407122093023256,-0.38800872093023253,0.030523255813953487
