race_id,horse_name,snapshot_label,odds,favorite_rank,available_at,bet_time,race_start_at,captured_at,plain_odds_role,plain_odds_ambiguous,available_at_ts,bet_time_ts,race_start_ts,available_at_bet_time,final_market_odds,post_market_info,closing_odds_contamination
202401020605,リアライズハロック,ambiguous,40.0,,,,,,,True,,,,False,False,True,False
202401020606,アラタマフェーヴル,ambiguous,32.1,,,,,,,True,,,,False,False,True,False
202401020609,スプリングデイ,ambiguous,18.4,,,,,,,True,,,,False,False,True,False
202401020611,エトヴプレ,ambiguous,8.8,,,,,,,True,,,,False,False,True,False
202401020701,ビアンカネーヴェ,ambiguous,6.1,,,,,,,True,,,,False,False,True,False
202401020703,ヘザルフェン,ambiguous,7.2,,,,,,,True,,,,False,False,True,False
202401020707,ルクスアドラー,ambiguous,16.7,,,,,,,True,,,,False,False,True,False
202401020709,ダノンスウィッチ,ambiguous,4.6,,,,,,,True,,,,False,False,True,False
202401020712,ツインクルトーズ,ambiguous,8.3,,,,,,,True,,,,False,False,True,False
202401020801,ワールドキッス,ambiguous,9.6,,,,,,,True,,,,False,False,True,False
202401020802,マイネルトラオム,ambiguous,23.1,,,,,,,True,,,,False,False,True,False
202401020807,ニシノインヴィクタ,ambiguous,27.8,,,,,,,True,,,,False,False,True,False
202402010101,ルチェッタ,ambiguous,14.6,,,,,,,True,,,,False,False,True,False
202402010102,エリカポラリス,ambiguous,6.7,,,,,,,True,,,,False,False,True,False
202402010103,アマモト,ambiguous,10.8,,,,,,,True,,,,False,False,True,False
202402010107,ヴェルテンベルク,ambiguous,11.5,,,,,,,True,,,,False,False,True,False
202402010111,ヴィアドロローサ,ambiguous,10.4,,,,,,,True,,,,False,False,True,False
202402010203,スマートレパード,ambiguous,20.4,,,,,,,True,,,,False,False,True,False
202402010206,プロスペクト,ambiguous,11.3,,,,,,,True,,,,False,False,True,False
202402010211,ジャスティンスカイ,ambiguous,9.9,,,,,,,True,,,,False,False,True,False
202402010302,ツマヤ,ambiguous,33.3,,,,,,,True,,,,False,False,True,False
202402010304,ブラックバラード,ambiguous,4.7,,,,,,,True,,,,False,False,True,False
202402010305,モモイロタンポポ,ambiguous,36.7,,,,,,,True,,,,False,False,True,False
202402010307,ウインキャロライン,ambiguous,7.8,,,,,,,True,,,,False,False,True,False
202402010308,ジェニファー,ambiguous,19.5,,,,,,,True,,,,False,False,True,False
202402010309,クラックオブドーン,ambiguous,42.1,,,,,,,True,,,,False,False,True,False
202402010402,シンデレラタイム,ambiguous,12.1,,,,,,,True,,,,False,False,True,False
202402010403,スリークロス,ambiguous,58.6,,,,,,,True,,,,False,False,True,False
202402010405,シンゼンマルノスケ,ambiguous,36.7,,,,,,,True,,,,False,False,True,False
202402010408,アフトクラーティラ,ambiguous,19.4,,,,,,,True,,,,False,False,True,False
202402010502,ブレイクショット,ambiguous,12.9,,,,,,,True,,,,False,False,True,False
202402010505,キスメット,ambiguous,31.2,,,,,,,True,,,,False,False,True,False
202402010507,マケルナマサムネ,ambiguous,63.6,,,,,,,True,,,,False,False,True,False
202402010512,リードアクトレス,ambiguous,160.5,,,,,,,True,,,,False,False,True,False
202402010602,メイショウヤスマサ,ambiguous,27.0,,,,,,,True,,,,False,False,True,False
202402010603,アルヘンティニータ,ambiguous,30.8,,,,,,,True,,,,False,False,True,False
202402010604,バスティオン,ambiguous,15.3,,,,,,,True,,,,False,False,True,False
202402010605,ブリッツアロング,ambiguous,22.6,,,,,,,True,,,,False,False,True,False
202402010606,フクノスナノバラ,ambiguous,41.0,,,,,,,True,,,,False,False,True,False
202402010607,スノーブリザード,ambiguous,8.3,,,,,,,True,,,,False,False,True,False
202402010608,ヨリナエスポワール,ambiguous,10.7,,,,,,,True,,,,False,False,True,False
202402010609,ディープレイヤー,ambiguous,17.9,,,,,,,True,,,,False,False,True,False
202402010610,クファシル,ambiguous,4.7,,,,,,,True,,,,False,False,True,False
202402010612,ハートホイップ,ambiguous,12.7,,,,,,,True,,,,False,False,True,False
202402010701,サスペンスクィーン,ambiguous,41.9,,,,,,,True,,,,False,False,True,False
202402010704,フェスティヴカレン,ambiguous,33.3,,,,,,,True,,,,False,False,True,False
202402010705,ポップグルーヴ,ambiguous,41.5,,,,,,,True,,,,False,False,True,False
202402010707,ロードオールライト,ambiguous,12.7,,,,,,,True,,,,False,False,True,False
